철도운영기관명,선명,역명,역간거리,역명_clean,전역,역간거리(km),소요시간(초),전역_clean,소요시간
코레일,경춘선,춘천(한림대),2.7,춘천,,2.7,173.8819320214669,,174
코레일,경춘선,남춘천(강원대),5.9,남춘천,춘천(한림대),5.9,379.96422182468694,춘천,380
코레일,경춘선,김유정,7.4,김유정,남춘천(강원대),7.4,476.5652951699463,남춘천,477
코레일,경춘선,강촌,5.3,강촌,김유정,5.3,341.32379248658316,김유정,341
코레일,경춘선,백양리(엘리시안강촌),2.9,백양리,강촌,2.9,186.76207513416816,강촌,187
코레일,경춘선,굴봉산(제이드가든),4.7,굴봉산,백양리(엘리시안강촌),4.7,302.68336314847943,백양리,303
코레일,경춘선,가평(자라섬·남이섬),7.1,가평,굴봉산(제이드가든),7.1,457.2450805008944,굴봉산,457
코레일,경춘선,상천(호명호수),4.8,상천,가평(자라섬·남이섬),4.8,309.12343470483006,가평,309
코레일,경춘선,청평,7.5,청평,상천(호명호수),7.5,483.0053667262969,상천,483
코레일,경춘선,대성리,7.4,대성리,청평,7.4,476.5652951699463,청평,477
코레일,경춘선,마석,2.2,마석,대성리,2.2,141.68157423971377,대성리,142
코레일,경춘선,천마산,4.0,천마산,마석,4.0,257.602862254025,마석,258
코레일,경춘선,평내호평,4.0,평내호평,천마산,4.0,257.602862254025,천마산,258
코레일,경춘선,금곡,3.6,금곡,평내호평,3.6,231.84257602862252,평내호평,232
코레일,경춘선,사릉,3.3,사릉,금곡,3.3,212.52236135957065,금곡,213
코레일,경춘선,퇴계원,1.6,퇴계원,사릉,1.6,103.04114490161,사릉,103
코레일,경춘선,별내(삼육대학교),1.5,별내,퇴계원,1.5,96.6010733452594,퇴계원,97
코레일,경춘선,갈매,2.6,갈매,별내(삼육대학교),2.6,167.44186046511626,별내,167
코레일,경춘선,신내,2.6,신내,갈매,2.6,167.44186046511626,갈매,167
코레일,경춘선,망우,,망우,신내,,,신내,0
코레일,경춘선,상봉,,상봉,망우,,,망우,0
코레일,경춘선,중랑,,중랑,상봉,,,상봉,0
코레일,경춘선,회기,,회기,중랑,,,중랑,0
코레일,경춘선,청량리,,청량리,회기,,,회기,0
코레일,경춘선,광운대,,광운대,청량리,,,청량리,0
