철도운영기관명,선명,역명,전역,역간거리(km),소요시간(초),속도,소요시간,역명_clean,전역_clean
코레일,경강선,판교(판교테크노밸리),,0.0,0.0,0.019055556,0,판교,
코레일,경강선,성남,판교(판교테크노밸리),0.5,26.23906706,,26,성남,판교
코레일,경강선,이매,성남,1.5,78.71720117,,78,이매,성남
코레일,경강선,삼동,이매,6.885,361.3119534,,361,삼동,이매
코레일,경강선,경기광주,삼동,4.9,257.1428571,,257,경기광주,삼동
코레일,경강선,신둔도예촌,경기광주,6.8,356.851312,,356,신둔도예촌,경기광주
코레일,경강선,이천,신둔도예촌,7.8,409.3294461,,409,이천,신둔도예촌
코레일,경강선,부발,이천,4.5,236.1516035,,236,부발,이천
코레일,경강선,여주,부발,5.4,283.3819242,,283,여주,부발
코레일,경강선,초월,여주,5.0,262.3906706,,262,초월,여주
코레일,경강선,곤지암,초월,4.9,257.1428571,,257,곤지암,초월
코레일,경강선,세종대왕릉,곤지암,8.3,435.5685131,,435,세종대왕릉,곤지암
