철도운영기관명,선명,역명,역간거리(km),순서,역명_clean,전역,소요시간(초),소요시간
코레일,수인분당선,인천,1.1,0.0,인천,,100.76335877862596,100
코레일,수인분당선,신포,1.5,1.0,신포,인천,137.40458015267177,137
코레일,수인분당선,숭의(인하대병원),1.8,2.0,숭의,신포,164.88549618320613,164
코레일,수인분당선,인하대,2.4,3.0,인하대,숭의(인하대병원),219.84732824427482,219
코레일,수인분당선,송도,2.7,4.0,송도,인하대,247.32824427480918,247
코레일,수인분당선,연수,0.9,5.0,연수,송도,82.44274809160306,82
코레일,수인분당선,원인재,1.0,6.0,원인재,연수,91.6030534351145,91
코레일,수인분당선,남동인더스파크,1.3,7.0,남동인더스파크,원인재,119.08396946564886,119
코레일,수인분당선,호구포,1.3,8.0,호구포,남동인더스파크,119.08396946564886,119
코레일,수인분당선,인천논현,1.0,9.0,인천논현,호구포,91.6030534351145,91
코레일,수인분당선,소래포구,1.3,10.0,소래포구,인천논현,119.08396946564886,119
코레일,수인분당선,월곶,1.5,11.0,월곶,소래포구,137.40458015267177,137
코레일,수인분당선,달월,2.1,12.0,달월,월곶,192.36641221374046,192
코레일,수인분당선,오이도,1.4,13.0,오이도,달월,128.24427480916032,128
코레일,수인분당선,정왕,1.7,14.0,정왕,오이도,155.72519083969468,155
코레일,수인분당선,신길온천,1.6,15.0,신길온천,정왕,146.56488549618322,146
코레일,수인분당선,안산,1.8,16.0,안산,신길온천,164.88549618320613,164
코레일,수인분당선,초지,1.4,17.0,초지,안산,128.24427480916032,128
코레일,수인분당선,고잔,1.5,18.0,고잔,초지,137.40458015267177,137
코레일,수인분당선,중앙,1.6,19.0,중앙,고잔,146.56488549618322,146
코레일,수인분당선,한대앞,1.4,20.0,한대앞,중앙,128.24427480916032,128
코레일,수인분당선,사리,4.7,21.0,사리,한대앞,430.5343511450382,430
코레일,수인분당선,야목,2.6,22.0,야목,사리,238.16793893129773,238
코레일,수인분당선,어천,5.1,23.0,어천,야목,467.17557251908397,467
코레일,수인분당선,오목천,1.6,24.0,오목천,어천,146.56488549618322,146
코레일,수인분당선,고색,2.7,25.0,고색,오목천,247.32824427480918,247
코레일,수인분당선,수원,1.5,26.0,수원,고색,137.40458015267177,137
코레일,수인분당선,매교,1.4,27.0,매교,수원,128.24427480916032,128
코레일,수인분당선,수원시청(경기도문화의전당),1.4,28.0,수원시청,매교,128.24427480916032,128
코레일,수인분당선,매탄권선,1.8,29.0,매탄권선,수원시청(경기도문화의전당),164.88549618320613,164
코레일,수인분당선,망포,1.5,30.0,망포,매탄권선,137.40458015267177,137
코레일,수인분당선,영통(경희대),1.1,31.0,영통,망포,100.76335877862596,100
코레일,수인분당선,청명,2.8,32.0,청명,영통(경희대),256.48854961832063,256
코레일,수인분당선,상갈(루터대학교),1.9,33.0,상갈,청명,174.04580152671755,174
코레일,수인분당선,기흥(백남준아트센터),1.4,34.0,기흥,상갈(루터대학교),128.24427480916032,128
코레일,수인분당선,신갈,1.6,35.0,신갈,기흥(백남준아트센터),146.56488549618322,146
코레일,수인분당선,구성,1.6,36.0,구성,신갈,146.56488549618322,146
코레일,수인분당선,보정,1.3,37.0,보정,구성,119.08396946564886,119
코레일,수인분당선,죽전(단국대),1.8,38.0,죽전,보정,164.88549618320613,164
코레일,수인분당선,오리,1.1,39.0,오리,죽전(단국대),100.76335877862596,100
코레일,수인분당선,미금(분당서울대병원),1.8,40.0,미금,오리,164.88549618320613,164
코레일,수인분당선,정자,1.6,41.0,정자,미금(분당서울대병원),146.56488549618322,146
코레일,수인분당선,수내(한국잡월드),1.1,42.0,수내,정자,100.76335877862596,100
코레일,수인분당선,서현,1.4,43.0,서현,수내(한국잡월드),128.24427480916032,128
코레일,수인분당선,이매(성남아트센터),1.7,44.0,이매,서현,155.72519083969468,155
코레일,수인분당선,야탑,2.3,45.0,야탑,이매(성남아트센터),210.68702290076337,210
코레일,수인분당선,모란,0.9,46.0,모란,야탑,82.44274809160306,82
코레일,수인분당선,태평,1.0,47.0,태평,모란,91.6030534351145,91
코레일,수인분당선,가천대,2.4,48.0,가천대,태평,219.84732824427482,219
코레일,수인분당선,복정(동서울대학),3.2,49.0,복정,가천대,293.12977099236645,293
코레일,수인분당선,수서,3.2,50.0,수서,복정(동서울대학),293.12977099236645,293
코레일,수인분당선,대모산입구,0.6,51.0,대모산입구,수서,54.961832061068705,54
코레일,수인분당선,개포동,0.7,52.0,개포동,대모산입구,64.12213740458016,64
코레일,수인분당선,구룡,0.6,53.0,구룡,개포동,54.961832061068705,54
코레일,수인분당선,도곡,0.7,54.0,도곡,구룡,64.12213740458016,64
코레일,수인분당선,한티,1.1,55.0,한티,도곡,100.76335877862596,100
코레일,수인분당선,선릉,0.7,56.0,선릉,한티,64.12213740458016,64
코레일,수인분당선,선정릉(한국과학창의재단),0.7,57.0,선정릉,선릉,64.12213740458016,64
코레일,수인분당선,강남구청,1.2,58.0,강남구청,선정릉(한국과학창의재단),109.92366412213741,109
코레일,수인분당선,압구정로데오,1.9,59.0,압구정로데오,강남구청,174.04580152671755,174
코레일,수인분당선,서울숲,2.2,60.0,서울숲,압구정로데오,201.5267175572519,201
코레일,수인분당선,왕십리,,61.0,왕십리,서울숲,,0
코레일,수인분당선,청량리,,,청량리,왕십리,,0
