철도운영기관명,선명,역명,역간거리,소요시간,전역,역명_clean
용인경량전철주식회사,용인경전철,기흥,0.0,,,기흥
용인경량전철주식회사,용인경전철,강남대,1.0,,기흥,강남대
용인경량전철주식회사,용인경전철,지석,1.0,,강남대,지석
용인경량전철주식회사,용인경전철,어정,0.9,,지석,어정
용인경량전철주식회사,용인경전철,동백,1.1,,어정,동백
용인경량전철주식회사,용인경전철,초당,1.0,,동백,초당
용인경량전철주식회사,용인경전철,삼가,2.6,,초당,삼가
용인경량전철주식회사,용인경전철,시청·용인대,1.0,,삼가,시청·용인대
용인경량전철주식회사,용인경전철,명지대,1.0,,시청·용인대,명지대
용인경량전철주식회사,용인경전철,김량장,0.7,,명지대,김량장
용인경량전철주식회사,용인경전철,운동장·송담대,0.9,,김량장,운동장·송담대
용인경량전철주식회사,용인경전철,고진,0.9,,운동장·송담대,고진
용인경량전철주식회사,용인경전철,보평,1.7,,고진,보평
용인경량전철주식회사,용인경전철,둔전,1.0,,보평,둔전
용인경량전철주식회사,용인경전철,전대·에버랜드,2.6,,둔전,전대·에버랜드
