철도운영기관명,선명,역명,역간거리,소요시간,전역
우이신설경전철주식회사,우이신설경전철,북한산우이,0.0,0,
우이신설경전철주식회사,우이신설경전철,솔밭공원,0.8,85,북한산우이
우이신설경전철주식회사,우이신설경전철,4.19민주묘지,0.7,75,솔밭공원
우이신설경전철주식회사,우이신설경전철,가오리,0.9,96,4.19민주묘지
우이신설경전철주식회사,우이신설경전철,화계,0.8,85,가오리
우이신설경전철주식회사,우이신설경전철,삼양,0.8,85,화계
우이신설경전철주식회사,우이신설경전철,삼양사거리,0.7,75,삼양
우이신설경전철주식회사,우이신설경전철,솔샘,0.8,85,삼양사거리
우이신설경전철주식회사,우이신설경전철,북한산보국문,1.2,128,솔샘
우이신설경전철주식회사,우이신설경전철,정릉,1.2,128,북한산보국문
우이신설경전철주식회사,우이신설경전철,성신여대입구,1.2,128,정릉
우이신설경전철주식회사,우이신설경전철,보문,0.9,96,성신여대입구
우이신설경전철주식회사,우이신설경전철,신설동,1.0,107,보문
