철도운영기관명,선명,역명,역간거리,소요시간,전역,역명_clean,전역_clean
의정부경전철,의정부,발곡,0.0,0,,발곡,
의정부경전철,의정부,회룡,0.8,89,발곡,회룡,발곡
의정부경전철,의정부,범골,0.6,66,회룡,범골,회룡
의정부경전철,의정부,경전철의정부,0.9,100,범골,경전철의정부,범골
의정부경전철,의정부,의정부시청,0.9,100,경전철의정부,의정부시청,경전철의정부
의정부경전철,의정부,흥선,0.6,66,의정부시청,흥선,의정부시청
의정부경전철,의정부,의정부중앙,1.1,122,흥선,의정부중앙,흥선
의정부경전철,의정부,동오,0.7,78,의정부중앙,동오,의정부중앙
의정부경전철,의정부,새말,0.7,78,동오,새말,동오
의정부경전철,의정부,경기도청북부청사,0.7,78,새말,경기도청북부청사,새말
의정부경전철,의정부,효자,0.6,66,경기도청북부청사,효자,경기도청북부청사
의정부경전철,의정부,곤제,0.7,78,효자,곤제,효자
의정부경전철,의정부,어룡(용현산업단지),0.9,100,곤제,어룡,곤제
의정부경전철,의정부,송산,0.6,66,어룡(용현산업단지),송산,어룡
의정부경전철,의정부,탑석,0.4,44,송산,탑석,송산
