철도운영기관명,선명,역명,역간거리(km),소요시간
코레일,1호선,연천,8.6,911
코레일,1호선,전곡,3.3,349
코레일,1호선,청산,5.8,614
코레일,1호선,소요산,2.5,265
코레일,1호선,동두천,1.6,169
코레일,1호선,보산,1.4,148
코레일,1호선,동두천중앙,1.0,106
코레일,1호선,지행,5.6,593
코레일,1호선,덕정,2.9,307
코레일,1호선,덕계,5.3,561
코레일,1호선,양주,1.6,169
코레일,1호선,녹양,1.3,138
코레일,1호선,가능,1.2,127
코레일,1호선,의정부,1.6,169
코레일,1호선,회룡,1.4,148
코레일,1호선,망월사,2.3,244
코레일,1호선,도봉산,1.2,127
코레일,1호선,도봉,1.3,138
코레일,1호선,방학,1.7,180
코레일,1호선,창동,1.0,106
코레일,1호선,녹천,1.4,148
코레일,1호선,월계,1.1,116
코레일,1호선,광운대,1.1,116
코레일,1호선,석계,1.4,148
코레일,1호선,신이문,0.8,85
서울교통공사,1호선,청량리(서울시립대입구),0.0,0
코레일,1호선,외대앞,0.8,85
서울교통공사,1호선,제기동,1.0,88
코레일,1호선,회기,1.4,148
서울교통공사,1호선,신설동,0.9,79
서울교통공사,1호선,동묘앞,0.7,61
서울교통공사,1호선,동대문,0.6,53
서울교통공사,1호선,종로5가,0.8,70
서울교통공사,1호선,종로3가,0.9,79
서울교통공사,1호선,종각,0.8,70
서울교통공사,1호선,시청,1.0,88
서울교통공사,1호선,서울역,1.1,96
코레일,1호선,남영,1.7,149
코레일,1호선,용산,1.5,131
코레일,1호선,노량진,1.8,158
코레일,1호선,대방,1.5,131
코레일,1호선,신길,0.8,70
코레일,1호선,영등포,1.0,88
코레일,1호선,신도림,1.5,131
코레일,1호선,구로,1.1,105
코레일,1호선,가산디지털단지,1.1,89
코레일,1호선,구일,1.4,134
코레일,1호선,개봉,1.0,96
코레일,1호선,독산,2.0,161
코레일,1호선,금천구청,1.2,97
코레일,1호선,오류동,1.3,124
코레일,1호선,광명,4.8,387
코레일,1호선,석수,1.9,153
코레일,1호선,온수,1.9,182
코레일,1호선,관악,1.9,153
코레일,1호선,역곡,1.3,124
코레일,1호선,소사,1.5,144
코레일,1호선,안양,2.4,194
코레일,1호선,명학,2.2,178
코레일,1호선,부천,1.1,105
코레일,1호선,금정,1.4,113
코레일,1호선,중동,1.7,163
코레일,1호선,군포,2.2,178
코레일,1호선,송내,1.0,96
코레일,1호선,당정,1.6,129
코레일,1호선,부개,1.2,115
코레일,1호선,부평,1.5,144
코레일,1호선,의왕,2.6,210
코레일,1호선,백운,1.7,163
코레일,1호선,성균관대,2.9,234
코레일,1호선,화서,2.6,210
코레일,1호선,동암,1.5,144
코레일,1호선,간석,1.2,115
코레일,1호선,수원,2.1,170
코레일,1호선,세류,2.9,234
코레일,1호선,주안,1.2,115
코레일,1호선,도화,1.0,96
코레일,1호선,병점,4.3,347
코레일,1호선,서동탄,2.2,178
코레일,1호선,세마,2.4,194
코레일,1호선,제물포,1.0,96
코레일,1호선,도원,1.4,134
코레일,1호선,오산대,2.7,218
코레일,1호선,동인천,1.2,115
코레일,1호선,오산,2.7,218
코레일,1호선,인천,1.9,182
코레일,1호선,진위,4.0,323
코레일,1호선,송탄,3.8,307
코레일,1호선,서정리,2.2,178
코레일,1호선,평택지제,4.8,387
코레일,1호선,평택,3.7,299
코레일,1호선,성환,9.4,759
코레일,1호선,직산,5.4,436
코레일,1호선,두정,5.4,436
코레일,1호선,천안,3.0,242
코레일,1호선,봉명,1.3,105
코레일,1호선,쌍용(나사렛대),1.6,129
코레일,1호선,아산,1.6,129
코레일,1호선,탕정,1.8,145
코레일,1호선,배방,3.1,250
코레일,1호선,온양온천,4.9,396
코레일,1호선,신창(순천향대),5.1,412
